,adres,longitude,latitude
58,"Сосновский район, пос. Федоровка, ст. Асфальтная  456518, Челябинская обл., Сосновский р-н, пос. Новое поле, ул. Садовая, д. 6",1,1
59,"г. Челябинск, Свердловский тракт, д. 24",61.38253,55.205728
60,"г. Челябинск, ул. Линейная,  д. 96 б",61.491352,55.161965
61,"г. Челябинск, ул. Линейная,  д. 51",61.517879,55.158251
62,"г. Магнитогорск, по ул. Спортивной в Орджоникидзевском районе",1,1
63,"г. Златоуст, ул. Береговая Ветлужская,  д. 84 ",59.703058,55.178049
64,"1. Агаповский район, пос. Приморский, ул. Центральное шоссе, д. 1 2. Агаповский район,  ст. Буранная, ул. Старый Элеватор, 1/1 3. Агаровский р-н, с. Агаповка,  ул. Асфальтовая, д. 2а 4. Верхнеуральск. Район,  п. Смеловский, ул. Придорожная,  д. 3 5. г. Верхнеуральск, ул. Еремина, д. 4а; 6. Брединский р-н, пос. Бреды, ул. Шахта 3, д. 17а 7. Кизильский р-н, с. Кизильское, пер. Автомобильный, д. 9/3 8. Верхнеуральский район,  пос. Межозерный, ул. Шоссейная, д. 1 9. г. Магнитогорск, ул. Шоссейная, д. 42 10. г. Магнитогорск, ул. Нестерова, д. 9/2;  11. г. Магнитогорск, ул. 50-летия Магнитки, д. 86, строение 2; с  12. г. Магнитогорск, ул. Калибровщиков, д. 32; 13. г. Магнитогорск, Правобережный район, шоссе Западное, 98",1,1
65,"г. Челябинск, ул. 2-я Шагольская, д. 25",61.301179,55.229347
66,"Кунашакский район, с. Кунашак",61.551934,55.698528
67,"г. Челябинск, пр-т Ленина, д. 3",61.468086,55.158549
68,"Каслинский р-н, р.п. Вишневогорск, в 750 м. севернее здания быткомбината промплощадки ОАО «Вишневогорский ГОК»",1,1
69,"г. Челябинск, ул. Монтажников,  д. 7а",61.423826,55.252116
70,"1. г. Челябинск, ул. Промышленная, д. 1 2. г. Копейск, р.п. Вахрушево, южнее автодороги «Челябинск-Курган» 3. г. Челябинск, ул. Енисейская, 32 4. Сосновский район, в районе п. Федоровка 5. г. Кыштым, Каслинское шоссе, д. 11",1,1
71,"г. Магнитогорск, ул. Шоссейная, д. 48/1",59.088655,53.395454
72," г. Магнитогорск,    ул. Сульфидная, д. 1, строение 3",59.095599,53.411081
73,"г. Челябинск, ул. Академика Королева, д. 43, кв. 70",61.288261,55.162705
74,"г. Аша, ул. Узкоколейная, д. 1в",57.2448,55.001551
75,"г. Челябинск, Троицкий тракт,  д. 19в",61.385153,55.094648
76,"1. г. Челябинск, ул. 1-я Потребительская, 1а; 2. г. Челябинск, ул. Енисейская, 75а;                                    3.г. Южноуральск, ул. Заводская, д. 1.",61.270807,54.457123
77,"г. Озерск, ул. Кыштымская, д. 3",60.720894,55.754091
78,"г. Магнитогорск, ул. Калибровщиков,  д. 27",59.093829,53.467064
79,"г. Челябинск, Троицкий тракт,  д. 25б",61.383096,55.088542
80,"г. Трехгорный, ул. Рабочая, д. 8а",58.456636,54.823315
81,"г. Карталы, ул. Почтовая, д. 65",60.632608,53.073601
82,"г. Златоуст, ул. им. С.М. Кирова, д. 1, ул. Береговая Татарка",59.652564,55.183235
83,"1. г. Челябинск, ул. Автодорожная, 1а черный и цветной лом; 2. с. Аргаяш, юго-восточнее здания конторы ОАО «Агрохимик»; 3. с. Варна, ул. Железнодорожная, 6; 4. г. Еманжелинск, п. Зауральский, ул. Калинина, 2а; 5. г. Касли, ул. 8 Марта, 61; 6. г. Карталы, ул. Линейная, 1; 7. г. Копейск, ул. Кемеровская, 10; 8. г. Коркино, п. Роза, пер. Щорса, 9 б; 9. г. Магнитогорск, проезд Кирпичный, 7; 10. г. Миасс, пер. Элеваторнаый, 1а; 11. Нязепетровский район, с. Ункурда, ул. Береговая, 15; 12.  с. Октябрьское, ул. Заводская, д.4; 13. г. Троицк, п. Гончарка; 14. п. Увельский, ул. Пристанционная, 1; 15. г. Челябинск, ул. Строительная, 25;                   16. Саткинский район, р.п. Сулея, участок в районе тяговой подстанции; 17. п. Бреды, ул. Шахты-3 18. с. Уйское, ул. Ленина, 83д; 19. г. Верхнеуральск, ул. Ленина, 93а; 20. г. Чебаркуль, ул. Суворова, д. 14; 21. Красноармейский р-н, с. Канашево, ул. Советская, 1а; 22. г. Златоуст, пос. Угольный; 23. г. Кыштым, ул. Огнеупорная, д. 2; 24. г. Магнитогорск, ул. Электросети, 21; 25. г. Магнитогорск, ул. Калибровщиков, д. 28А",1,1
84,,100.771544,18.80769
85,"г. Южноуральск, ул. Советская, д. 2д",61.242079,54.449732
86,"1) г. Верхний Уфалей ул. Мыжевская,  д. 136/1;   2) г. Нязепетровск, ул. Спортивная,  д. 12, строение 3.",59.594568,56.033253
87,"г. Касли, ул. Советская, д. 68",60.742804,55.890371
88,"пос. Бреды, ул. Шахты 3, д. 19",60.332049,52.41267
89,"1. г. Магнитогорск, ул. Кирова, д. 93 2. г. Магнитогорск, ул. Профсоюзная,   д. 11/2",59.024012,53.394305
90,"г. Челябинск, Свердловский тракт, д. 5",61.385288,55.205867
91,"г. Снежинск, ул. Транспортная, 43д",60.740082,56.06561
92,"г. Челябинск, Свердловский тракт,  д. 23а",61.390929,55.199809
93,"1) г. Челябинск, ул. Физкультурная,  д. 34  2) г. Челябинск, Троицкий тракт,  д. 21е, (19)",61.396733,55.112937
