,adres,longitude,latitude
1331,"г.Челябинск, пр.Ленина, 76, , г.Челябинск, ул.Электростальская, 47а, г.Челябинск, ул.Артиллерийская, 100, г.Усть-Катав, ул.Центральная, 38, г.Озерск, ул.Бажова, 14, , г.Златоуст, ул.Тургенева, 16, г.Верхний Уфалей, ул.Ленина, 24 г.Сатка, ул.Пролетарская, 6, г.Миасс, пр.Октября, 16, г.Куса, ул. III-го Интернационала, 3 г.Трехгорный, ул.К.Маркса, 40а, г.Нязепетровск, ул.Советская, 5 г.Кыштым, 180м южнее границы промплощадки ТОО «Кштымавтосервис» по ул.Коноплянка, 2",1,1
1332,"г.Челябинск, пр.Ленина, 76, ",61.370259,55.160519
1335,"г.Челябинск, пр.Ленина, 76, ,",61.370259,55.160519
1336,"г.Челябинск, пр.Ленина, 76, , г.Челябинск, ул.С.Кривой, 60 г.Усть-Катав, ул.Центральная, 38, г.Сатка, ул.Пролетарская, 6, г.Миасс, пр.Октября, 16, г.Кыштым, 180м южнее границы промплощадки ТОО «Кштымавтосервис» по ул.Коноплянка, 2",1,1
1338,"г.Челябинск, пр.Ленина, 76",61.370259,55.160519
1339,"г.Челябинск, пр.Ленина, 76,  78, 80, 80а, г.Челябинск, ул.Коммуны,  145, 147,  г.Челябинск, ул.С.Кривой,  79, 79а, г.Челябинск, ул.Артиллерийская, 98а,  г.Миасс, пр.Октября, 16",61.399104,55.162582
1340,"Челябинская область, Чебаркульский район, с.Непряхино СОК «Непряхино»,",60.418135,55.083786
1341,"г.Челябинск, пр.Ленина, 76, 76а, 78, 80, 80а, 82, 85, 85а, 87 г.Челябинск, ул.Коммуны 143/пр.1-ый Институтский, ул.Коммуны, 141, 145, 147, 149, г.Челябинск, ул.С.Кривой, 60, 60а, 79, 79а, г.Челябинск, пер.1-й Институтский, 3 г.Челябинск, ул.Свободы, 74, г.Челябинск, ул.Электростальская, 47а, г.Челябинск, ул.Артиллерийская, 98а, 100, г.Челябинск, ул.Рождественского, 5, г.Челябинск, ул.Гастелло, 4, 6, Челябинская область, Чебаркульский район, с.Непряхино СОК «Непряхино», г.Усть-Катав, ул.Центральная, 38, г.Озерск, ул.Бажова, 14, г.Аша, ул.Мира, 23, г.Златоуст, ул.Тургенева, 16, г.Верхний Уфалей, ул.Ленина, 24 г.Сатка, ул.Пролетарская, 6, г.Миасс, пр.Октября, 16, г.Куса, ул. III-го Интернационала, 3 г.Трехгорный, ул.К.Маркса, 40а, г.Снежинск, ул.40 лет Октября, 7 г.Нязепетровск, ул.Советская, 5 г.Кыштым, 180м южнее границы промплощадки ТОО «Кштымавтосервис» по ул.Коноплянка, 2",1,1
1343,"г.Челябинск, пр.Ленина, 76, 76а, 78, 80, 80а, 82, 85, 85а, 87 г.Челябинск, ул.Коммуны 143/пр.1-ый Институтский, ул.Коммуны, 141,  149, г.Челябинск, ул.С.Кривой,  60а, 79, 79а, г.Челябинск, ул.Рождественского, 5, г.Челябинск, ул.Гастелло, 4, 6, Челябинская область, Чебаркульский район, с.Непряхино СОК «Непряхино»",61.368472,55.161723
1344,"Челябинская обл,  г. Челябинск",61.402554,55.159902
1356,"Челябинская область, Каслинский район, Багарякский гипсовый карьер",61.71338,56.085078
1367,"Челябинская область, г.Копейск, р.п. Железнодорожный, ул.Мечникова, 1",61.565131,55.087553
1368,"Челябинская область, г.Магнитогорск, ул.Электросети,38",59.081064,53.430373
1382,"Челябинская область (сбор, транспортировка), г.Челябинск, ул.Варненская, 6а (обезвреживание)",61.369244,55.139694
1384,"Шлакоотвал ОАО  «Ашинский металлургический завод» на земельном участке оносительно ориентира от основной площадки, вдоль ул.Узкоколейной, северо-западнее г.Аши, в направлении п.Абдулка, расположенного в границах участка , адрес ориентира: Челябинская область, Ашинский район, г.Аша",1,1
1393,"454000, г. Челябинск, ул. Западная 2 проезд, 7, участок 804",61.371032,55.212642
1423,Челябинская область.,60.39565,54.446204
1464,"454036, г.Челябинск, ул.Радонежская, 28",61.317277,55.231709
1495,"Челябинская область, 457100, Челябинская область, г. Троицк,  Южный промышленный район",61.556543,54.069519
1508,"г.Челябинск, ул.Новороссийская, 2",61.495368,55.095018
1576,"г.Касли, ул.Советская, 68;Челябинская область ",60.742804,55.890371
1579,"г.Касли, ул.Советская, 68; Челябинская область ",60.742804,55.890371
1599,"г.Челябинск, а/я 5298",61.402554,55.159902
1624,"г.Челябинск, Свердловский тракт, 24, Сосновский район, д.Ключевка, ОК «Лесная застава»; Челябинская область",61.38253,55.205728
1625,"г.Челябинск, Свердловский тракт, 24; Челябинская область",61.38253,55.205728
1644,"Россия, Челябинская обл., Карталинский район, участок находится примерно в 150 м по направлению на юго-восток от ориентира п. Новокаолиновый, расположенного за пределами участка, адрес ориентира: обл. Челябинская, р-н Карталинский",1,1
1652,"456010, Челябинская область, г. Аша, ул. Узкоколейная, 1-В",57.2448,55.001551
1661,"Челябинская область, г.Миньяр",57.548467,55.070912
1666,"ВУЗ - г. Верхний Уфалей, ул. Ленина, 129; НУЗ -  п. Нижний Уфалей, ул. Энгельса, 1",1,1
1676,"ВУЗ - г. Верхний Уфалей, ул. Ленина, 129",60.2187,56.060107
1677,"НУЗ -  п. Нижний Уфалей, ул. Энгельса, 1",60.001155,55.911754
1679,"г.Челябинск, ул.2-ая Павелецкая, 14",61.413118,55.263845
1693,"сбор – Челябинская область использование - г.Челябинск, Свердловский тракт, 24",61.38253,55.205728
1697,"г. Челябинск, Свердловский тракт, 24",61.38253,55.205728
1740,"454000, г. Челябинск, ул. Кожзаводская, 100",61.3964,55.195493
1743,"Челябинская область, г.Миасс, Ильменский заповедник",60.16543,55.018479
1745,"456080, Челябинская область, г. Трёхгорный, ул. Рабочая, 8",58.456636,54.823315
1770,"457040, Челябинская область, г. Южноуральск, ул. Станичная, 49А",61.2471,54.441151
1775,"457040, Челябинская область, г. Южноуральск, ул. Станичная, 49А; 457040, Челябинская область, полигон ТБО, пос. Летягино;",61.2471,54.441151
1777,"457040, Челябинская область, г. Южноуральск, ул. Станичная, 49А ",61.2471,54.441151
1783,"457040, Челябинская обл., г. Южноуральск, ул. Станичная, 49А; 457040, Челябинская область, полигон ТБО, пос. Летягино;",61.2471,54.441151
1784,"457040, Челябинская обл., г. Южноуральск, ул. Станичная, 49А ",61.2471,54.441151
1818,"456550, Челябинская область, г. Коркино, ул. Маслова, 15",61.403937,54.892504
1819,"456550, Челябинская область, г. Коркино, ул. Терешковой, 17-б",61.418229,54.891023
1827,"использование  - 456550, Челябинская область, г. Коркино, ул. Терешковой, 17-б; сбор- 456550, Челябинская область, г. Коркино, ул. Маслова, 15",1,1
1834,"1. 456940, Челябинская область, г. Куса, ул.  Индустриальная, д. 49              2. 456940, Челябинская область, г. Куса, ул. Герцена, 81а",59.440651,55.343
1843,"2. 456940, Челябинская область, г. Куса, ул. Герцена, 81а",59.45382,55.34946
1850,"Челябинская обл, г. Сатка, ул. Угольная, д. 26",58.979321,55.029224
1866,"Челябинская область, г. Сатка, ул. Угольная, д. 26",58.979321,55.029224
1869,"Челябинская обл., г. Сатка, ул. Угольная, д. 26",58.979321,55.029224
1870,"456303, г. Миасс Челябинской области, ул. 60 лет Октября, 13",60.100562,55.013487
1871,"Челябинская область, г.Трехгорный, шоссе Восточное, 2",58.462502,54.815975
1873,"456080, Челябинская область, г.Трехгорный, ул. Строителей,  4-82",58.457822,54.822163
1895,"455005,Челябинская обл., г. Магнитогорск, ул. Заготовительная, 21 ",59.08738,53.47691
1912,"Каслинс-кий район, 108 квартал участко-вого лесни-чества ОГУ «Каслинс-кое лесни-чество», в 3 км от г. Касли (свалка ТБО)",1,1
2048,"относительно ориентира 55°03’10” с.ш., 57°27’53” в.д., юго-запад г.Миньяра в изгибе поймы р.Сим на правом берегу, расположенного в границах участка, адрес ориентира: Челябинская область, Ашинский район",1,1
2049,"Челябинская обл., г. Златоуст, ул. имени С.М. Кирова, 1",59.644146,55.196428
2053,"Челябинская обл., г. Златоуст, ул. имени С.М. Кирова, 1, г.Златоуст, ул.3-я Закаменская, строение-имущественный комплекс автотранспортного цеха ",59.644146,55.196428
2063,"Челябинская обл., г. Златоуст, ул. имени С.М. Кирова, 2",59.643032,55.196377
2064,"Челябинская обл., г. Златоуст, ул. имени С.М. Кирова, 3",59.642188,55.196289
2065,"Челябинская обл., г. Златоуст, ул. имени С.М. Кирова, 4",59.641344,55.196135
2066,"Челябинская обл., г. Златоуст, ул. имени С.М. Кирова, 5",59.640373,55.195991
2067,"Челябинская обл., г. Златоуст, ул.им. Н.Ф. Ватутина,97 ",59.621769,55.179606
2069,"Челябинская обл., г. Златоуст, ул.им. С.М. Кирова, 1, г. Златоуст, ул.им. Н.Ф. Ватутина,97 ",59.629333,55.184623
2070,"Челябинская обл., г. Златоуст, ул. имени С.М. Кирова, 1 ",59.644146,55.196428
2074,"Челябинская обл., г. Златоуст, ул.им. С.М. Кирова, 1,  г.Златоуст, ул.3-я Закаменская, строение-имущественный комплекс автотранспортного цеха ",1,1
2078,"Челябинская обл., г. Златоуст, ул.им. С.М. Кирова, 1 ",59.657109,55.171802
2080,"Россия, Челябинская область, г. Южноуральск, ул. Красногвардейская, 151, очистные сооружения канализации",61.251807,54.425723
2082,"г. Озерск, ул. Гаражная, 1 (полигон ТБО)",60.754006,55.768339
2186,"Челябинская область, г.Верхний Уфалей, ул.Ленина, 297В",60.223721,56.035994
2190,"Полигон  промышленных и бытовых отходов, расположенный: Челябинская область, г. Кыштым, 69 квартал Городского лесничества Кыштымского лесхоза",1,1
2244,"Очистные сооружения Челябинская область, Катав-Ивановск, ул. Усть-Катавская 76а.",58.175545,54.755913
2246,"Хранилище обезвоженных шламов по адресу: Челябинская область, г.Магнитогорск, тракт Челябинский, 73",1,1
2263,"Шламонакопитель Россия Челябинская область, г.Магнитогорск, Северная часть, б/н, на расстоянии 1,3 км от п.Новосеверный.   Хранилище обезвоженных шламов по адресу: Челябинская область, г.Магнитогорск, тракт Челябинский, 73",1,1
2301,"456770, Челябинская область, г. Снежинск, ул. Транспортная, д. 42",60.729437,56.071203
2357,"457040, Челябинская область, г. Южноуральск, проезд Дальний, д. 2 «а»",61.312632,54.455014
2437,"456780, Челябинская область, г.Озерск, ул. Чапаева, 1-5",60.715351,55.767018
2455,"456200,  Российская Федерация,  Челябинская область,  г.Златоуст, ул.им.Н.Б.Скворцова, д.27",59.668365,55.176182
2458,"Челябинская область, г.Златоуст, ул.2-я Лесопильная, 6",59.706274,55.177822
2510,"456200, Челябинская область, г.Златоуст, ул.им.Н.Б.Скворцова, д.27",59.668365,55.176182
2517,"456200 Челябинская область, г.Златоуст, ул.2-я Лесопильная, д. 6",59.706274,55.177822
2682,"456620, Челябинская область, г. Копейск, ул. Гастелло, 27В-53",61.595988,55.111506
2692,"455000, Челябинская обл., г. Магнитогорск, ул. Гранитная, д.2",58.998545,53.345194
2702,"456780, Челябинская обл., г. Озерск, ул. Свердлова, д. 27.",60.710177,55.768071
2793,"Челябинская область, г. Магнитогорск, ул. Пионерская,  дом 2, корпус «В» ",59.044395,53.389182
2804,"456857, Челябинская область, Красноармейский район, п. Октябрьский, пер. Солнечный, дом 3а",61.810146,55.081127
2849,"456873, Челябинская область, г. Кыштым, ул. Огнеупорная, д. 2",60.571908,55.729797
2940,"454074, Челябинская обл., г. Челябинск, ул. Героев Танкограда, 42П",61.439771,55.215755
2954,"456080, Челябинская область, город Трехгорный, улица Строителей д. 4 кв.82",58.457822,54.822163
2971,"456080, Челябинская область, город Трехгорный, улица Рабочая, дом 8 ",58.456636,54.823315
2989,"454018,  г. Челябинск,  ул. Двинская,  13-72",61.347119,55.180984
3001,"454008, г. Челябинск, ул. Автодорожная, 6.",61.367474,55.208178
3010,"Россия, Челябинская область, г. Магнитогорск, р-н Орджоникидзевский, тракт Челябинский, дом №7/1, строение 2",59.106163,53.380449
3011,"455000, Челябинская область, г. Магнитогорск улица Электросети, 31",59.073411,53.423645
3013,"Россия, Челябинская область, г. Магнитогорск, р-н Орджоникидзевский, тракт Челябинский, 7/1",59.106163,53.380449
3015,"Россия, Челябинская область, г. Магнитогорск, р-н Орджоникидзевский, тракт Челябинский, 7/1, строение 1",59.106163,53.380449
3016,"Россия, Челябинская обл., г. Магнитогорск, ул. Кирова, д. 104, строение №11",59.051905,53.388532
3029,"456580, г. Еманжелинск, ул. Курчатова, д. 12",61.324068,54.750744
3097,"456920, Челябинская область, Саткинский район, п. Сулея, ул. Дорожная, дом 16",58.892427,55.138392
3102,"456935, Челябинская область, п. Бердяуш, ул. Профессиональная д. 31-2а",59.125145,55.161142
3139,"г. Челябинск, ул. 250-летия Челябинска, 16-312",61.301098,55.180341
3153,"г. Челябинск, пр-кт Победы 287А",61.335728,55.188319
3167,"454012, г. Челябинск,            ул. Горелова, 12",61.504656,55.118673
3168,"454012, г. Челябинск,             ул. Горелова, 12",61.504656,55.118673
3169,"454012, г. Челябинск,              ул. Горелова, 12",61.504656,55.118673
3171,"456870 Челябинская обл. г. Кыштым, ул. Ленина, д. 54А",60.568468,55.712
3195,"454010, г. Челябинск,  ул. Пушкина, д. 73,  офис 4. ",61.410854,55.155937
3209,"454010, г. Челябинск, ул. Гагарина, д.7А,  офис 501 ",61.443427,55.142437
3223,"454010, г. Челябинск,  ул. Пушкина, д. 73,  офис 2. ",61.410854,55.155937
3237,"456440, Челябинская область, г. Чебаркуль, ул. Мичурина, д. 26",60.34998,54.971553
3258,"454045, Россия, г. Челябинск, п. Федоровка, ул. Первомайская, д. 4",61.346894,55.093576
3259,"г. Челябинск, ул. 2-ая Павелецкая, 14, нежилые помещения в здании обдирочно – зачистного отделения КПЦ ОАО «Уралкуз»",1,1
3260,"454052, г. Челябинск, ул. Комаровского, д. 5",61.376799,55.240287
3262,"456409, Челябинская обл., Чебаркульский район, с. Непряхино, пер. Школьный, д. 9.",60.416976,55.0844
3304,"456010, Челябинская область, Ашинский район, г. Аша, ул. Ленина, 15",57.279978,54.990395
3464,"Челябинская обл., г. Магнитогорск, ул. 9 мая, дом 7, корпус 1",59.06529,53.451892
3559,"Челябинская обл., г.",59.001339,53.424058
3560,"Магнитогорск, ул. 9 мая, дом 7, корпус 1",59.06529,53.451892
3562,"Челябинская обд., г. Магнитогорск, ул. 9 мая, дом 7, корпус 1",59.06529,53.451892
3576,"455002, Челябинская обл., г. Магнитогорск, ул. Кирова, 93",59.053675,53.415627
3578,"г. Магнитогорск, ул. Гагарина, дом 50",58.960286,53.412074
3586,"456440, Челябинская область, г. Чебаркуль, ул. Верхняя, 54 ",60.39759,54.980446
3589,"Челябинская область, г. Троицк, Южный промышленный район",61.556543,54.069519
3598,"456592, Челябинская область г. Еманжелинск, п. Красногорский, ул. Ленина 15",61.228882,54.605104
3680,"457040, Челябинская область, г. Южноуральск, ул. Спортивная, 40-44",61.272154,54.446748
3823,"г. Касли, ул. Советская, д. 68, корпус 2, офис 10.",60.751841,55.890815
3884,"455023, Челябинская область, г. Магнитогорск, ул. Набережная, д. 16 оф. 113",59.000629,53.416062
3912,"456770 Россия, Челябинская область, г. Снежинск ул. Садовая д.5",60.77464,56.034752
3985,"456870, Челябинская область, г.Кыштым, ул.Кооперативная, д.2",60.535491,55.709627
4002,"СБОР по адресу: 456910 Челябинская обл., г.Сатка,  ОАО «Комбинат «Магнезит», площадка «Нового завода», в р-не деревообрабатывающего цеха.  ТРАНСПОРТИРОВАНИЕ 456922, Челябинская область, Саткинский район, рабочий поселок Межевой, ул. Попова,13",1,1
4015,"455007 Челябинская обл., г. Магнитогорск, ул. 9 Мая,27",59.028764,53.451328
4016,"455007 Челябинская обл., г. Магнитогорск, ул. 9 Мая,2;",59.067733,53.448384
4018,"455007 Челябинская обл., г. Магнитогорск, ул. 9 Мая,2",59.067733,53.448384
4019,"455002 Челябинская обл., г. Магнитогорск, ул. Кирова, 93",59.053675,53.415627
4036,"Челябинская область, Еткульский район, 10,5 км севернее п. Бектыш; Челябинская область, Еткульский район, западная часть с. Еманжелинка; 457684, Челябинская область, Верхнеуральский район, п. Петропавловский, ул. Набережная, д.1а",1,1
4037,"Челябинская область, Еткульский район, 10,5 км севернее п. Бектыш; Челябинская область, Еткульский район, западная часть с. Еманжелинка;457684, Челябинская область, Верхнеуральский район, п. Петропавловский, ул. Набережная, д.1а",1,1
4039,"Россия, Челябинская область, г. Копейск, южнее озера Рыбное",61.461995,54.981009
4041,"456658, Челябинская область, г. Копейск, территория ПАО «Птицефабрика Челябинская»",61.611574,55.115697
4042,"457684, Челябинская область, Верхнеуральский район, п. Петропавловский, ул. ХПП, д.9",60.105207,54.01284
4049,"455000, Челябинская обл., г. Магнитогорск, шоссе Белорецкое, 9",58.988448,53.463612
4071,"455002, Челябинская область, г. Магнитогорск, ул. Кирова,93",59.053675,53.415627
4139,"456880, Челябинская область, Аргаяшский р-н, с. Аргаяш, ул. Привокзальная, 1",60.877695,55.490728
4140,"456913, Челябинская область, г. Сатка, ул. 40 лет Победы, 18-177",58.920266,55.060539
4141,"456913, Челябинская область, г. Сатка, ул. 40 лет Победы, 18",58.920266,55.060539
4147,"Россия, Челябинская область, г. Снежинск, ул.Транспортная, д.44",60.729437,56.071203
4151,"Россия, Челябинская область, г.Снежинск, ул.Транспортная, д.44",60.729437,56.071203
4167,"Россия, Челябинская область,г. Снежинск, ул.Транспортная, д.44",60.729437,56.071203
4187,"Россия, Челябинская область, г.Снежинск, площадка 19",60.732707,56.087303
4211,"Россия, Челябинская область, г. Снежинск,",60.732707,56.087303
4212,"ул. Транспортная, д.44",63.684742,53.233446
4223,"454084, г. Челябинск, ул. Кожзаводская, 2А",61.396274,55.193437
4232,"Россия, Челябинская обл., г. Сатка, ОАО «Комбинат «Магнезит», Комплекс Отделения Брикетирования Каустической Пыли ЦМП-2",1,1
4234,"Россия, Челябинская обл., г. Стака, ОАО «Комбинат «Магнезит», площадка «Старого завода», Управление подготовительного производства. Россия, Челябинская обл., г. Сатка, ОАО «Комбинат «Магнезит», территория «Нового завода» ЦМП-2. Россия, Челябинская обл., г. Сатка, ОАО «Комбинат «Магнезит», площадка «Старого завода», Цех магнезитового порошка №1",1,1
4235,"Россия, Челябинская обл., г. Сатка, ОАО «Комбинат «Магнезит», территория «Нового завода», ЦМП-2. Россия, Челябинская обл., г. Сатка, ОАО «Комбинат «Магнезит», площадка «Старого завода», Цех магнезитового порошка №1",1,1
4248,"456780, Челябинская область, г. Озерск, ул. Еловая, д.4; ",60.707967,55.760347
4249,"456780, Челябинская область, г. Озерск, ул. Чапаева, д.7, кв.17",60.716528,55.767717
4258,"456780, Челябинская область, г. Озерск, ул. Еловая, д.4;",60.707967,55.760347
4259," 456780, Челябинская область, г. Озерск, ул. Чапаева, д.7, кв.17",60.716528,55.767717
4280,"456780, Челябинская область, г. Озерск, ул. Еловая, д.4;",60.707967,55.760347
4360,"456110, Челябинская область, г. Катав-Ивановск, ул. Ленина, 19",58.201165,54.753201
4369,"456110, Челябинская область, г. Катав-Ивановск, ул. Ленина, 1 9",58.211441,54.756423
4374,"ООО «МПК», 455013, Челябинская область, г. Магнитогорск, ул. Лазника 30",59.102669,53.402181
4375,"ООО «МПК» участок 1, 455006, Челябинская область, г. Магнитогорск, ул. Калмыкова 222; ООО «МПК» участок 2, 457410, Челябинская область, Агаповский район, п. Буранный.",1,1
4391,"454091, Челябинская область, г. Челябинск, ул. Степана Разина, д. 3, офис 605/4.",61.409075,55.136324
4467,"455000, Челябинская обл., г. Магнитогорск, ул. Калмыкова 66/2",58.997988,53.344489
4475,"455016, Челябинская область, г. Магнитогорск, ул. Шоссейная, 13",59.077552,53.39561
4488,"455000, Челябинская область, г. Магнитогорск, ул. Шоссейная, 3 ",59.07112,53.395368
4489,"455000, Челябинская область, г. Магнитогорск, ул. Бориса Ручьева, дом 5А",58.98463,53.369689
4504,"456970, Челябинская область, г. Нязепетровск, ул. Клубная, 3",59.594577,56.019656
4511,"456007, Челябинская область, Ашинский р-н, г. Миньяр, ул. Кирова, 80",57.546248,55.071386
4538,"454138, г. Челябинск, ул. Красного Урала, дом 12",61.354116,55.192888
4539,"454008, г. Челябинск, ул. Производственная, дом 4-а",61.355572,55.205877
4590,"456910, Челябинская обл., г. Сатка, ул. Пролетарская, 1В",58.983355,55.050452
4604,"454048, г. Челябинск, ул. Елькина, 85, стр. 1",61.400119,55.14822
4618,"454091, г. Челябинск, ул. Плеханова, 1-35",61.419487,55.155993
4632,"454077, Челябинская область, г. Челябинск, ул. Мамина, 6-169",61.48377,55.195169
4646,"456870, Челябинская область, г. Кыштым, ул. Парижской Коммуны, 2",60.57428,55.733792
4664,"454119, г. Челябинск, Копейское шоссе, 40",61.470044,55.133684
4669,"454047, г.Челябинск, ул. 2-я Павелецкая, 36",61.401458,55.274857
4714,"456780, Челябинская область, г. Озерск, ул. Бажова, д. 24, кв. 30",60.722646,55.770522
4775,"456530, Челябинская обл., Сосновский р-н, пос. Есаульский, ул. Трактористов,1",61.206344,55.301977
4784,"454136, г. Челябинск, ул. Молодогвардейцев д. 43а, оф.6",61.336698,55.182608
4794,"455002, Челябинская область, г. Магнитогорск, ул. Кирова, 93",59.053675,53.415627
4809,"454084, Челябинская область, г. Челябинск, 93 разъезд, 2",61.395403,55.197687
4848,"456200 Челябинская обл., г.Златоуст, ул. Береговая Татарка, 1",59.652564,55.183235
4864,"454008, г. Челябинск, ул. Сетевая, 7 ",61.379018,55.193355
4879,"456501, Челябинская область, Сосновский р-н, с.Кременкульул. Ленина, 14-б",61.149211,55.186165
4885,"454081 г. Челябинск, ул. Героев Танкограда, 61-П",61.441792,55.209195
4993,"454081, Челябинская обл., г.Челябинск, ул. Ферросплавная, 126, оф. 2115",61.430024,55.189378
5003,"454008, г.Челябинск, ул. Автодорожная, 6",61.367474,55.208178
5012,"г. Челябинск ул.Ярославская, 9-130",61.347397,55.112983
5026,"454006, г.Челябинск, ул. Российская, д. 63А",61.418984,55.171838
5040,"456604, Челябинская область, г. Копейск, ул. Проспект Победы, д. 28",61.607531,55.117628
5057,"Россия, Челябинская обл., г. Снежинск, ш. Каслинское, д.5а ",60.732707,56.087303
5058,"Россия, Челябинская обл., г. Снежинск, ул. Транспортная, д.36 ",60.733749,56.070268
5179,"456870, Челябинская обл., г. Кыштым, в 1360 м восточнее жилого дома  № 2 по ул. Боровая",60.557499,55.673204
5180,"456871, Челябинская обл., г. Кыштым, ул. Калинина, д. 172, оф. 1",60.55334,55.704296
5255,"456216, Челябинская обл., г.Златоуст, ул. Суворова, 1Б",59.714278,55.098197
5265,"456928, Челябинская область, Саткинский район, п. Чулковка, ул. Центральная, 19",59.000459,55.201356
5271,"456550, Челябинская обл., г. Коркино, ул. 9 января, д. 6, оф. 26",61.403506,54.895729
5303,"456317,Челябинская обл., г. Миасс, ул. Луговая, 13",60.112788,55.028109
5313,"456612, Челябинская область, г.Копейск, ул. Кемеровская, 24",61.646347,55.118977
5324,"456300,Челябинская обл., г. Миасс, ул. Лихачева, 13",60.113606,55.045372
5334,"454081, г.Челябинск, ул. Механическая, 8",61.454737,55.197888
5346,"Россия, Челябинская обл., Саткинский район, раб. Пос. Сулея, ул. Элеваторная, д. 1А",58.871981,55.129617
5362,"454007, г.Челябинск, ул. Первой Пятилетки, дом 27А, офис 2",61.446867,55.16666
5385,"454000, г. Челябинск, проезд Большой Западный, 7, гаражно-строительный кооператив №6 «Автолюбитель», гараж №804",61.37175,55.213217
5407,"Челябинская область, г. Златоуст, проезд Парковый, 1",59.704253,55.11148
5410,"455000, Челябинская обл., г. Магнитогорск, ул. Вокзальная, 15",58.956827,53.434552
5417,"456918, Челябинская обл., г. Сатка, ул. Ольховая,15",58.941412,55.047966
5429,"Челябинская обл., г. Магнитогорск, ул. Белинского, 30",58.956163,53.428973
5430,"456825, Челябинская область, Каслинский район, п. Вишневогорск, ул. Ленина, 54",60.662971,56.003668
5535,"454003, г. Челябинск, ул. 40-летия Победы, 29а, 58",61.302661,55.184449
5536,"456541, Челябинская область, г.Коркино, п. Первомайский, ул. Высоковольтная, 56 а, офис 1",61.176358,54.861808
5542,"454053, г.Челябинск, Троицкий тракт, д.25-Б, литер 4/1",61.376368,55.093628
5543,"454053, г.Челябинск, Троицкий тракт, д.25-Б",61.383096,55.088542
5666,"456030, Челябинская обл., п. Кропачево, ул. Пушкина, 106",57.983188,55.013797
5692,"456030, Челябинская обл., п. Кропачево, ул. Пушкина, 1а",57.976927,54.999888
5721,"456300, Челябинская обл., г. Миасс, Тургоякское шоссе,1",60.133611,55.114024
5772,"456384, Челябинская обл., г. Миасс, п.Ленинск, ул. Ленина,3-5",59.868501,54.902372
5777,"456300,Челябинская  обл., г. Миасс, Объездная автодорога в Северной части",60.13672,55.096425
5778,"456300,Челябинская  обл., г. Миасс, Объездная дорога, д. 4/2",60.147742,55.116449
5779,"456300,Челябинская  обл., г. Миасс, Объездная дорога, 4/2а",60.147742,55.116449
5781,"456300,Челябинская  обл., г. Миасс, Объездная дорога, д. 4/2",60.147742,55.116449
5820,"457200, Челябинская обл., Варненский р-н, с. Варна, ул. Островского, д. 27",60.964194,53.371043
5824,"454006. г. Челябинск, ул. Российская, 63 А.",61.418984,55.171838
5834,"454091, г. Челябинск, ул. Труда, д.66",61.408977,55.168398
5839,"454139, г.Челябинск, ул. Новороссийская, 46",61.474814,55.110285
5840,"454139, г. Челябинск, ул. Новороссийская, 46",61.474814,55.110285
5852,"454081, г. Челябинск, ул. Механическая, д.26",61.442996,55.195436
5878,"454081, г. Челябинск,              ул. Героев Танкограда, 57-п",61.442969,55.211394
5879,"456800, Челябинская область, г.Верхний Уфалей, ул. Каслинская, 3",60.227809,56.05307
5889,"456800, Челябинской область, г. Верхний Уфалей, ул. Каслинская, 3",60.227809,56.05307
5894,"456800, Челябинской область, г. Верхний Уфалей, ул. Каслинская, 3.",60.227809,56.05307
5953,"456120, Челябинская область, г. Юрюзань, ул. Советская, 90; 456120, Челябинская область, г. Юрюзань, ул. Тимирязева, 17",58.43346,54.856279
6174,"456910, Челябинская область, г. Сатка, ул. Солнечная,  34",58.971766,55.036525
6176,"Челябинская область, г. Сатка, ОАО «Комбинат Магнезит», площадка «Старого завода», Управление подготовительного производства",1,1
6190,"Челябинская область, г. Сатка, ОАО «Комбинат Магнезит», площадка «Старого завода».",1,1
6196,"Челябинская область, г. Сатка, территория «Нового завода» АО «Комбинат «Магнезит» Полигон твердых бытовых и промыш-ленных отходов (ТБ и ПО)",1,1
6245,"456910, Челябинская область, г. Сатка, ул. Солнечная,  34 Территория «Нового завода»",58.976159,55.035663
6247,"456910, Челябинская область, г. Сатка, ул. Солнечная,  34 (Российская федерация) Территория «Нового завода»",58.976159,55.035663
6250,"Челябинская область, г. Сатка, ОАО «Комбинат Магнезит», Территория «Нового завода»",58.978845,55.052299
6251,"Челябинская область, г. Сатка, ОАО «Комбинат Магнезит», площадка «Старого завода»",1,1
6253,"Челябинская область, г. Сатка, ОАО «Комбинат Магнезит», Территория «Нового завода», Завод Магнезиальных Изделий",1,1
6254,"Челябинская область, г. Сатка, ОАО «Комбинат Магнезит», Территория «Нового завода», Цех магнезиальных изделий № 1",58.974048,55.046816
6284,"456910, Челябинская область, г. Сатка, ул. Солнечная,  34  (площадка Старого завода)",58.971766,55.036525
6286,"456910, Челябинская область, г. Сатка, ул. Солнечная,  34 (площадка Старого завода)",58.971766,55.036525
6306,"454007, г. Челябинск, ул. Рождественского, д.13",61.445044,55.155587
6314,"456200, г. Златоуст, 6 жилучасток (песковые площадки очистных сооружений канализации г. Златоуст)",59.623755,55.184988
6315,"456504, Челябинская обл., Сосновский район, п. Северный, ул. Гагарина, д. 1а",61.210296,55.12936
6333,"455000, Челябинская область, ул. Электросети, 38",59.081064,53.430373
